,index,inner_0,inner_1,inner_2,inner_3,outer_0,outer_1,outer_2,outer_3,outer_4,outer_5,frame_ID,bbox,area,perimeter,aspect_ratio
0,"(0, '[518, 23, 535, 42]')",-1.3306494,0.3794708,-1.4040649,-1.6364183,-3.5329924,-3.5403938,-0.5747266,0.42668563,-0.35283244,0.098949715,0,"[518, 23, 535, 42]",282.0,60.384777,0.8947368
1,"(0, '[423, 24, 447, 47]')",-0.86469305,2.1971405,-3.1791503,-1.4382546,-2.379891,-0.5531814,-0.62725985,0.33984303,-0.31190762,0.18023683,0,"[423, 24, 447, 47]",432.0,74.769554,1.0434783
2,"(0, '[360, 25, 374, 39]')",-0.7053166,-2.9442306,-2.8543901,0.21630543,-3.634814,-1.2189617,-0.22617392,0.5583382,-0.25173506,0.10923226,0,"[360, 25, 374, 39]",150.0,43.213203,1.0
3,"(0, '[397, 26, 412, 41]')",-1.5645267,-2.6093433,-2.0270915,-1.471625,-2.982125,-2.5604258,-0.34368077,0.58619994,-0.54007614,0.11621004,0,"[397, 26, 412, 41]",182.0,47.213203,1.0
4,"(0, '[11, 28, 52, 66]')",-0.1446655,7.90202,-5.1561427,-1.3761966,4.358194,4.6676383,1.7663746,1.4581164,-2.7729628,33.440254,0,"[11, 28, 52, 66]",1250.0,130.56854,1.0789474
5,"(0, '[190, 29, 205, 42]')",-2.0872524,-1.4143362,-0.658135,-1.3764406,0.541501,-1.0122464,1.5871046,0.057579976,0.50644743,0.07563157,0,"[190, 29, 205, 42]",149.0,43.213203,1.1538461
6,"(0, '[541, 29, 582, 58]')",0.636092,5.5109005,-3.4649744,-1.3918189,-1.0107335,0.52243376,-0.017823044,-0.21607268,0.5692876,0.23883504,0,"[541, 29, 582, 58]",929.0,113.74011,1.4137931
7,"(0, '[453, 31, 460, 39]')",-1.743598,-5.9369087,-1.1763325,-0.08335549,-4.579132,-3.55488,-0.5802272,0.29597118,0.05500441,0.098704934,0,"[453, 31, 460, 39]",50.0,23.071068,0.875
8,"(0, '[73, 41, 85, 52]')",1.0405071,-1.738583,-4.292677,1.5734378,-3.6778584,-2.7600276,-0.48689556,0.526287,-0.47920427,0.03642718,0,"[73, 41, 85, 52]",116.0,37.31371,1.0909091
9,"(0, '[253, 47, 283, 74]')",-0.21828008,5.3392377,-1.6441822,-2.1295416,1.1727595,5.074361,-0.48947057,-0.35738763,0.20227802,-0.083087645,0,"[253, 47, 283, 74]",590.0,90.08326,1.1111112
10,"(0, '[459, 49, 475, 66]')",-0.75459075,-1.5316659,-2.346738,-1.1370914,-2.0448792,-1.1306556,-1.3687085,0.71410197,-1.4167387,0.1328597,0,"[459, 49, 475, 66]",218.0,52.04163,0.9411765
11,"(0, '[145, 51, 167, 76]')",1.0752103,7.2649093,-2.7517025,0.7594678,3.9943416,6.191774,-1.6669279,1.7638313,-4.385687,14.757487,0,"[145, 51, 167, 76]",369.0,73.01219,0.88
12,"(0, '[119, 54, 144, 85]')",0.8575506,8.11109,-2.2820091,-0.35811144,-0.4383703,0.70450205,0.64442486,0.42436424,-0.41545588,-0.09384214,0,"[119, 54, 144, 85]",526.0,87.497475,0.8064516
13,"(0, '[386, 59, 406, 78]')",1.7341123,2.1800618,-3.9350958,-0.48221126,-0.7105716,1.9370188,-2.663102,0.7141202,-2.129301,0.24599993,0,"[386, 59, 406, 78]",308.0,62.28427,1.0526316
14,"(0, '[294, 60, 375, 154]')",5.175403,17.110014,-8.357373,7.48908,1.4310875,2.324576,-0.79276514,1.334806,-2.1371748,-0.27865043,0,"[294, 60, 375, 154]",4860.0,290.00714,0.86170214
